album,date,track,lyrics
Led Zeppelin I,1969-02-22 00:00:00,Good Times Bad Times,"[Verse 1]In the days of my youth, I was told what it means to be a manNow I've reached that age, I've tried to do all those things the best I canNo matter how I try, I find my way into the same old jam[Chorus]Good times, bad times, you know I've had my shareWhen my woman left home for a brown-eyed manBut I still don't seem to care[Verse 2]Sixteen, I fell in love with a girl as sweet as could beIt only took a couple of days 'til she was rid of meShe swore that she would be all mine and love me 'til the endBut when I whispered in her ear, I lost another friend, oh[Chorus]Good times, bad times, you know I've had my shareWhen my woman left home for a brown-eyed manBut I still don't seem to care[Guitar Solo][Chorus]Good times, bad times, you know I've had my shareWhen my woman left home for a brown-eyed manBut I still don't seem to care [Outro]I know what it means to be aloneI sure do wish I was at homeI don't care what the neighbors sayI'm gonna love you each and every dayYou can feel the beat within my heartRealize, sweet babe, we ain't never gonna partI feel good when I look into your eyes"
Led Zeppelin I,1969-02-22 00:00:00,Babe I'm Gonna Leave You,"[Verse 1]Babe, baby, baby, I'm gonna leave youI said baby, you know I'm gonna leave youI'll leave you when the summertimeLeave you when the summer comes a-rollin'Leave you when the summer comes along[Verse 2]Babe, babe, babe, babe, babe, babe, babyBaby, I wanna leave youI ain't joking' woman, I've got to rambleOh, yeah, baby, baby, I believin'We really got to ramble (I can hear it callin' me)I can hear it callin' me the way it used to doI can hear it callin' me back home[Bridge]Oh, babe, I'm gonna leave youOh, baby, you knowI've really got to leave youOh, I can hear it callin' meI said don't you hear it callin' me the way it used to do?Ooohh[Verse 3]I know, I know, I know I never, never, never, never, neverGonna leave you, babeBut I got to go away from this placeI've got to quit you, yeahOh, baby, baby, baby, baby, baby, baby, babyOh, don't you hear it callin' me?Woman, woman, I know, I knowIt feels good to have you back againAnd I know that one day, babyIt's gonna really grow, yes it isWe gonna go walkin' through the parkEvery dayCome what may, every day, ohMy, my, my, my, my, my babeI'm gonna leave you, go away [Bridge]Oh, I miss you, babyIt was really, really goodYou made me happy every single dayBut now, I've got to go awayOoh, oh, oh[Outro]Baby, baby, babyThat's when it's callin' meI said that's when it's callin' meBack home"
Led Zeppelin I,1969-02-22 00:00:00,You Shook Me,"[Verse 1]You know you shook meYou shook me all night longYou know you shook me, babyYou shook me all night longYou shook me so hard, babyBaby, baby, please come home[Verse 2]I have a bird that whistlesAnd I have birds that singI have a bird that whistlesAnd I have birds that sing(Hahahaha)I have a bird, won't do nothingOh-oh, oh-woah, buy a diamond ring, yeah[Instrumental Break 02:04-04:55][Organ Solo][Harmonica Solo][Guitar Solo][Verse 3]You know you shook me, babeYou shook me all night longI know you really, really did, babeI said you shook me, babyYou shook me all night longYou shook me so hard, baby [Outro]Babe!Ah-ah!Ah-ah!Ah-ah!Ah-ah!Ah, ra-ra!Ah, ra-ra!You shook me all-all-all-all-all-all-all-all night long"
Led Zeppelin I,1969-02-22 00:00:00,Dazed and Confused,"[Verse 1]Been dazed and confused for so long, it's not trueWanted a woman, never bargained for youLots of people talk and few of them knowSoul of a woman was created below, yeah[Verse 2]You hurt and abuse, telling all of your liesRun 'round, sweet baby, Lord, how they hypnotizeSweet little baby, I don't know where you've beenGonna love you, baby, here I come again[Verse 3]Every day I work so hard, bringing home my hard-earned payTry to love you, baby, but you push me awayDon't know where you're going, only know just where you've beenSweet little baby, I want you again[Interlude]AhAhAhAhAhAhAhAhAhAhAh, ah, ah, ahAh, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah [Instrumental Break]Oh, yeah!Alright, alright[Guitar Solo]Ah, ah, ah, ahAh, ah, ahAh, ah, ah, ahAh, ahAh, ahOh, don't leave me so confused, yeahOh, don't leave me so confused, noOh, baby[Verse 4]Been dazed and confused for so long it's not trueWanted a woman, never bargained for youTake it easy, baby, let them say what they willTongue wag so much when I send you the billOh, yeah, alright[Outro]OhOh, oh, oh, ohOh, oh, oh, ohOh, oh, oh, ohAh, ah, ah, ahAh, ah, ah"
Led Zeppelin I,1969-02-22 00:00:00,Your Time Is Gonna Come,"[Verse 1]Lying, cheating, hurting, that's all you seem to doMessing around every guy in townPutting me down for thinking of someone newAlways the same, playing your gameDrive me insane, trouble is gonna come to youOne of these days and it won't be longYou'll look for me but, baby, I'll be goneThis is all I gotta say to you, woman[Chorus]Your time is gonna comeYour time is gonna comeYour time is gonna comeYour time is gonna come[Verse 2]Made up my mind, break you this timeWon't be so fine, it's my turn to cryDo what you want, I won't take the bruntIt's fading away, can't feel you anymoreDon't care what you say 'cause I'm going away to stayGoing to make you pay for that great big hole in my heartPeople talking all aroundWatch out, woman, no longerIs the joke gonna be on my heartYou been bad to me, womanBut it's coming back home to you [Chorus]Your time is gonna comeYour time is gonna comeYour time is gonna comeYour time is gonna comeYour time is gonna come (Bye-bye, baby)Your time is gonna come (Bye-bye, bye-bye)Your time is gonna come ([?])Your time is gonna come (Oh, oh, oh-oh)Your time is gonna come ([?])Your time is gonna come ([?])Your time is gonna come ([?])[Outro]"
Led Zeppelin I,1969-02-22 00:00:00,Black Mountain Side,[Intro]Your time is gonna come[Instrumental]
Led Zeppelin I,1969-02-22 00:00:00,Communication Breakdown,"[Verse 1]Hey, girl, stop what you're doin'!Hey, girl, you'll drive me to ruinI don't know what it is I like about you, but I like it a lotWon't you let me hold you, let me feel your loving touch[Chorus]Communication breakdownIt's always the sameI'm having a nervous breakdownDrive me insane[Verse 2]Hey, babe, I got something I think you ought to knowHey, babe, I wanna tell you that I love you soI wanna hold you in my arms, yeah!I'm never gonna let you go, 'cause I like your charms[Chorus]Communication breakdownIt's always the sameI'm having a nervous breakdownDrive me insaneSuck![Guitar Solo] [Chorus]Communication breakdownIt's always the sameI'm having a nervous breakdownDrive me insane! Yeah![Outro]Communication breakdown(I want you to love me all night)(I want you to love me all night)Communication breakdown(Whoa, ah, a whoa oh)Communication breakdown(I want you to love me)(I want you to love)Communication breakdown(I want you to love, yeah)(I want you to love)Communication breakdown(I want you to love)..."
Led Zeppelin I,1969-02-22 00:00:00,I Can't Quit You Baby,"[Verse 1]Oh, I can't quit you, babeSo I'm gonna put you down for awhileI said I can't quit you, babeI guess I got to put you down for awhileSaid you messed up my happy homeMade me mistreat my only childYes, you did, babe, oh[Verse 2]Said you know I love you, babyMy love for you I could never hideOh, you know I love you, babeMy love for you I could never hideOh, when I feel you near me, little girlI know you are my one desire, yeahOh, ooohh, yeah[Instrumental Break][Guitar Solo][Verse 3]When you hear me moaning and groaning, babyYou know it hurts me deep down insideOh, when you hear me moaning and groaning, babeYou know it hurts me deep down insideOh, when you hear me holler, babyYou know you're my one desireYes, you are, ohh"
Led Zeppelin I,1969-02-22 00:00:00,How Many More Times,"[Intro]Aaahhhhh[Verse 1]How many more times treat me the way you wanna do?How many more times treat me the way you wanna do?When I give you all my lovePlease, please be true[Verse 2]I'll give you all I've got to give, rings, pearls, and allI'll give you all I've got to give, rings, pearls, and allI've got to get you together, babyI'm sure, sure you're gonna callOh, when's the last time I done asked you?[Instrumental Break][Interlude]I was a young man, I couldn't resistStarted thinking it over, just what I had missedGot me a girl, and I kissed her and then and thenWhoops, oh no, yeah, well, I did it againNow I' got ten children of my ownI got another child on the way, that makes elevenBut I'm in constant heavenI know it's all right in my mind'Cause I got a little schoolgirl, and she's all mineI can't get through to her 'cause it doesn't permitBut I'm gonna give her everything I've got to give [Bridge]Oh, Rosie, oh, girlOh, Rosie, oh, girlSteal away now, steal awaySteal away, baby, steal awayLittle Robert Anthony wants to come and playWhy don't you come to me, babySteal away, all right, all right[Verse 3]Well, they call me the hunterThat's my nameThey call me the hunterThat's how I got my fameAin't no need to hideAin't no need to run'Cause I've got you in the sights of my gun[Verse 4]How many more times, barrel house all night long, all rightHow many more times, barrel house all night long?Well, I've got to get to you, babySo, please come home[Outro]Why don't you listen to me, baby?Why don't you please come home?Why don't you please come home?Why don't you please come home?"
Led Zeppelin II,1969-02-22 00:00:00,Whole Lotta Love,"[Intro]Aha[Verse 1]You need coolin'Baby, I'm not foolin'I'm gonna send yaBack to schoolin'Way down insideHoney, you need itI'm gonna give you my loveI'm gonna give you my love[Chorus]Oh, wanna whole lotta loveWanna whole lotta loveWanna whole lotta loveWanna whole lotta love[Verse 2]You've been learnin'Baby, I been learnin'All the good timesBaby, baby, I've been yearningWay, way down insideUh, honey, you need itI'm gonna give you my love, uhI'm gonna give you my love, uh [Chorus]Oh, whole lotta loveWanna whole lotta loveWanna whole lotta loveWanna whole lotta love[Instrumental Break][Interlude]Ah, ah, ahAh, ah, ahAh, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah (No, no, no, no)AhLoveLove[Instrumental Break][Guitar Solo][Verse 3]You've been coolin'Baby, I've been droolin'All the good timesBaby, I've been misusin'Way, way down insideI'm gonna give you my loveI'm gonna give you every inch of my loveI'm gonna give you my love (Oh)Yeah, alright, let's go (Ah) [Chorus]Wanna whole lotta loveWanna whole lotta loveWanna whole lotta loveWanna whole lotta love[Bridge]Way down insideWomanYou needLove[Outro]My, my, my, myMy, my, my, my, ohShake for me, girlI wanna be your backdoor manHey, ohHey, ohHey, ohOoh, ohOh, oh, oh, ohOoh, my, my babyKeep it coolin', babyI Keep it coolin', babyI Keep it coolin', babyI keep it coolin', babyAh, ah-oh"
