album,date,track,lyrics
led zeppelin i,1969-02-22T00:00:00.000000,good times bad times,"i know what it means to be alonei sure do wish i was at homei don't care what the neighbors sayi'm gonna love you each and every dayyou can feel the beat within my heartrealize, sweet babe, we ain't never gonna parti feel good when i look into your eyes"
led zeppelin i,1969-02-22T00:00:00.000000,babe i'm gonna leave you,"baby, baby, babythat's when it's callin' mei said that's when it's callin' meback home"
led zeppelin i,1969-02-22T00:00:00.000000,you shook me,"babe!ah-ah!ah-ah!ah-ah!ah-ah!ah, ra-ra!ah, ra-ra!you shook me all-all-all-all-all-all-all-all night long"
led zeppelin i,1969-02-22T00:00:00.000000,dazed and confused,"ohoh, oh, oh, ohoh, oh, oh, ohoh, oh, oh, ohah, ah, ah, ahah, ah, ah"
led zeppelin i,1969-02-22T00:00:00.000000,your time is gonna come,""
led zeppelin i,1969-02-22T00:00:00.000000,black mountain side,""
led zeppelin i,1969-02-22T00:00:00.000000,communication breakdown,"communication breakdown(i want you to love me all night)(i want you to love me all night)communication breakdown(whoa, ah, a whoa oh)communication breakdown(i want you to love me)(i want you to love)communication breakdown(i want you to love, yeah)(i want you to love)communication breakdown(i want you to love)..."
led zeppelin i,1969-02-22T00:00:00.000000,i can't quit you baby,"when you hear me moaning and groaning, babyyou know it hurts me deep down insideoh, when you hear me moaning and groaning, babeyou know it hurts me deep down insideoh, when you hear me holler, babyyou know you're my one desireyes, you are, ohh"
led zeppelin i,1969-02-22T00:00:00.000000,how many more times,"why don't you listen to me, baby?why don't you please come home?why don't you please come home?why don't you please come home?"
led zeppelin ii,1969-02-22T00:00:00.000000,whole lotta love,"my, my, my, mymy, my, my, my, ohshake for me, girli wanna be your backdoor manhey, ohhey, ohhey, ohooh, ohoh, oh, oh, ohooh, my, my babykeep it coolin', babyi keep it coolin', babyi keep it coolin', babyi keep it coolin', babyah, ah-oh"
