album,track,lyrics,tokens,types,lemmas,ttr,lemma_ratio
led zeppelin (boxed set),stairway to heaven,"there's a lady who's sure all that glitters is gold and she's buying a stairway to heaven when she gets there she knows if the stores are all closed with a word she can get what she came for ooh-ooh, ooh, ooh, ooh, ooh-ooh, and she's buying a stairway to heaven there's a sign on the wall, but she wants to be sure 'cause you know sometimes words have two meanings in a tree by the brook, there's a songbird who sings sometimes all of our thoughts are misgiven ooh, it makes me wonder ooh, makes me wonder there's a feeling i get when i look to the west and my spirit is crying for leaving in my thoughts i have seen rings of smoke through the trees and the voices of those who stand looking ooh, it makes me wonder ooh, really makes me wonder see led zeppelin liveget tickets as low as $39you might also like and it's whispered that soon if we all call the tune then the piper will lead us to reason and a new day will dawn for those who stand long and the forests will echo with laughter oh-oh-oh-oh-woah-ho if there's a bustle in your hedgerow, don't be alarmed now it's just a spring clean for the may queen yes, there are two paths you can go by, but in the long run there's still time to change the road you're on and it makes me wonder ohh, oh-oh your head is humming and it won't go, in case you don't know the piper's calling you to join him dear lady, can you hear the wind blow? and did you know your stairway lies on the whispering wind? oh and as we wind on down the road our shadows taller than our soul there walks a lady we all know who shines white light and wants to show how everything still turns to gold and if you listen very hard the tune will come to you at last when all are one, and one is all, yeah to be a rock and not to roll and she's buying a stairway to heaven289embed there's a lady who's sure all that glitters is gold and she's buying a stairway to heaven when she gets there she knows if the stores are all closed with a word she can get what she came for ooh-ooh, ooh, ooh, ooh, ooh-ooh, and she's buying a stairway to heaven there's a sign on the wall, but she wants to be sure 'cause you know sometimes words have two meanings in a tree by the brook, there's a songbird who sings sometimes all of our thoughts are misgiven ooh, it makes me wonder ooh, makes me wonder there's a feeling i get when i look to the west and my spirit is crying for leaving in my thoughts i have seen rings of smoke through the trees and the voices of those who stand looking ooh, it makes me wonder ooh, really makes me wonder and it's whispered that soon if we all call the tune then the piper will lead us to reason and a new day will dawn for those who stand long and the forests will echo with laughter oh-oh-oh-oh-woah-ho if there's a bustle in your hedgerow, don't be alarmed now it's just a spring clean for the may queen yes, there are two paths you can go by, but in the long run there's still time to change the road you're on and it makes me wonder ohh, oh-oh your head is humming and it won't go, in case you don't know the piper's calling you to join him dear lady, can you hear the wind blow? and did you know your stairway lies on the whispering wind? oh  and as we wind on down the road our shadows taller than our soul there walks a lady we all know who shines white light and wants to show how everything still turns to gold and if you listen very hard the tune will come to you at last when all are one, and one is all, yeah to be a rock and not to roll and she's buying a stairway to heaven",758,174,157,22.95514511873351,90.22988505747126
led zeppelin (boxed set),immigrant song,"(two, three, four) ah-ah, ah ah-ah, ah we come from the land of the ice and snow from the midnight sun where the hot springs flow the hammer of the gods will drive our ships to new lands to fight the horde and sing and cry valhalla, i am coming on we sweep with threshing oar our only goal will be the western shore ah-ah, ah ah-ah, ah we come from the land of the ice and snow from the midnight sun where the hot springs flow how soft your fields so green can whisper tales of gore of how we calmed the tides of war we are your overlords see led zeppelin liveget tickets as low as $39you might also like on we sweep with threshing oar our only goal will be the western shore so now you'd better stop and rebuild all your ruins for peace and trust can win the day despite of all your losing ooh ooh ooh, ooh ooh ooh ahh ah, ooh ooh ooh ooh ooh ooh, ooh ooh ooh58embed ​ (two, three, four) ah-ah, ah ah-ah, ah we come from the land of the ice and snow from the midnight sun where the hot springs flow the hammer of the gods will drive our ships to new lands to fight the horde and sing and cry valhalla, i am coming on we sweep with threshing oar our only goal will be the western shore ah-ah, ah ah-ah, ah we come from the land of the ice and snow from the midnight sun where the hot springs flow how soft your fields so green can whisper tales of gore of how we calmed the tides of war we are your overlords on we sweep with threshing oar our only goal will be the western shore so now you'd better stop and rebuild all your ruins for peace and trust can win the day despite of all your losing ooh ooh ooh, ooh ooh ooh ahh ah, ooh ooh ooh ooh ooh ooh, ooh ooh ooh",352,92,88,26.136363636363637,95.65217391304348
led zeppelin (boxed set),going to california,"spent my days with a woman, unkind smoked my stuff and drank all my wine made up my mind to make a new start going to california with an achin' in my heart someone told me there's a girl out there with love in her eyes and flowers in her hair took my chances on a big jet plane never let 'em tell you that they're all the same oh, the sea was red and the sky was grey wondered how tomorrow could ever follow today the mountains and the canyons start to tremble and shake the children of the sun begin to awake (watch out) seems that the wrath of the gods got a punch on the nose and it's startin' to flow i think i might be sinkin' throw me a line, if i reach it in time i'll meet you up there where the path runs straight and high to find a queen without a king they say she plays guitar and cries and sings, ""la la la la"" ride a white mare in the footsteps of dawn tryin' to find a woman who's never, never, never been born standin' on a hill in my mountain of dreams tellin' myself it's not as hard, hard, hard as it seems (mm, ah) see led zeppelin liveget tickets as low as $39you might also like ah, ah, ah, ah33embed spent my days with a woman, unkind smoked my stuff and drank all my wine made up my mind to make a new start going to california with an achin' in my heart someone told me there's a girl out there with love in her eyes and flowers in her hair took my chances on a big jet plane never let 'em tell you that they're all the same oh, the sea was red and the sky was grey wondered how tomorrow could ever follow today the mountains and the canyons start to tremble and shake the children of the sun begin to awake (watch out) seems that the wrath of the gods got a punch on the nose and it's startin' to flow i think i might be sinkin' throw me a line, if i reach it in time i'll meet you up there where the path runs straight and high to find a queen without a king they say she plays guitar and cries and sings, ""la la la la"" ride a white mare in the footsteps of dawn tryin' to find a woman who's never, never, never been born standin' on a hill in my mountain of dreams tellin' myself it's not as hard, hard, hard as it seems (mm, ah) ah, ah, ah, ah",461,145,137,31.453362255965295,94.48275862068965
led zeppelin (boxed set),kashmir,"oh, let the sun beat down upon my face with stars to fill my dreams i am a traveler of both time and space to be where i have been sit with elders of a gentle race this world has seldom seen talk of days for which they sit and wait all will be revealed talk and song from tongues of lilting grace whose sounds caress my ear but not a word i heard could i relate the story was quite clear oh, oh oh, oh ooooh oh, baby, i been flying no, yeah, mama, there ain't no denying oh, ooh, yeah, i've been flying mama, mama, ain't no denying, no denying see led zeppelin liveget tickets as low as $39you might also likeoh, all i see turns to brown as the sun burns the ground and my eyes fill with sand as i scan this wasted land trying to find, trying to find, where i've been oh, pilot of the storm who leaves no trace like thoughts inside a dream here is the path that led me to that place yellow desert stream my shangri-la beneath the summer moon i will return again sure as the dust that floats high in june when movin' through kashmir oh, father of the four winds, fill my sails across the sea of years with no provision but an open face along the straits of fear oh, oh oh, oh ooh ooooh oh, when i'm on, when i'm on my way, yeah when i see, when i see the way you stay, yeah ooh, yeah-yeah, ooh, yeah-yeah, when i'm down, yeah ooh, yeah-yeah, ooh, yeah-yeah, but i'm down, so down ooh, my baby, ooh, my baby, let me take you there oh, oh, come on, come on oh, let me take you there, let me take you there ooh, yeah-yeah, ooh, yeah-yeah let me take you there, let me take you there63embed oh, let the sun beat down upon my face with stars to fill my dreams i am a traveler of both time and space to be where i have been sit with elders of a gentle race this world has seldom seen talk of days for which they sit and wait all will be revealed talk and song from tongues of lilting grace whose sounds caress my ear but not a word i heard could i relate the story was quite clear oh, oh oh, oh ooooh oh, baby, i been flying no, yeah, mama, there ain't no denying oh, ooh, yeah, i've been flying mama, mama, ain't no denying, no denying oh, all i see turns to brown as the sun burns the ground and my eyes fill with sand as i scan this wasted land trying to find, trying to find, where i've been oh, pilot of the storm who leaves no trace like thoughts inside a dream here is the path that led me to that place yellow desert stream my shangri-la beneath the summer moon i will return again sure as the dust that floats high in june when movin' through kashmir oh, father of the four winds, fill my sails across the sea of years with no provision but an open face along the straits of fear oh, oh oh, oh ooh ooooh oh, when i'm on, when i'm on my way, yeah when i see, when i see the way you stay, yeah ooh, yeah-yeah, ooh, yeah-yeah, when i'm down, yeah ooh, yeah-yeah, ooh, yeah-yeah, but i'm down, so down ooh, my baby, ooh, my baby, let me take you there oh, oh, come on, come on oh, let me take you there, let me take you there ooh, yeah-yeah, ooh, yeah-yeah let me take you there, let me take you there",658,156,146,23.70820668693009,93.58974358974359
led zeppelin (boxed set),whole lotta love,"aha you need coolin' baby, i'm not foolin' i'm gonna send ya back to schoolin' way down inside honey, you need it i'm gonna give you my love i'm gonna give you my love oh, wanna whole lotta love wanna whole lotta love wanna whole lotta love wanna whole lotta love you've been learnin' baby, i been learnin' all the good times baby, baby, i've been yearning way, way down inside uh, honey, you need it i'm gonna give you my love, uh i'm gonna give you my love, uh see led zeppelin liveget tickets as low as $39you might also like oh, whole lotta love wanna whole lotta love wanna whole lotta love wanna whole lotta love  ah, ah, ah ah, ah, ah ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah (no, no, no, no) ah love love  you've been coolin' baby, i've been droolin' all the good times baby, i've been misusin' way, way down inside i'm gonna give you my love i'm gonna give you every inch of my love i'm gonna give you my love (oh) yeah, alright, let's go (ah) wanna whole lotta love wanna whole lotta love wanna whole lotta love wanna whole lotta love way down inside woman you need love my, my, my, my my, my, my, my, oh shake for me, girl i wanna be your backdoor man hey, oh hey, oh hey, oh ooh, oh oh, oh, oh, oh ooh, my, my baby keep it coolin', baby i keep it coolin', baby i keep it coolin', baby i keep it coolin', baby ah, ah-oh35embed aha you need coolin' baby, i'm not foolin' i'm gonna send ya back to schoolin' way down inside honey, you need it i'm gonna give you my love i'm gonna give you my love oh, wanna whole lotta love wanna whole lotta love wanna whole lotta love wanna whole lotta love you've been learnin' baby, i been learnin' all the good times baby, baby, i've been yearning way, way down inside uh, honey, you need it i'm gonna give you my love, uh i'm gonna give you my love, uh oh, whole lotta love wanna whole lotta love wanna whole lotta love wanna whole lotta love  ah, ah, ah ah, ah, ah ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah (no, no, no, no) ah love love  you've been coolin' baby, i've been droolin' all the good times baby, i've been misusin' way, way down inside i'm gonna give you my love i'm gonna give you every inch of my love i'm gonna give you my love (oh) yeah, alright, let's go (ah) wanna whole lotta love wanna whole lotta love wanna whole lotta love wanna whole lotta love way down inside woman you need love my, my, my, my my, my, my, my, oh shake for me, girl i wanna be your backdoor man hey, oh hey, oh hey, oh ooh, oh oh, oh, oh, oh ooh, my, my baby keep it coolin', baby i keep it coolin', baby i keep it coolin', baby i keep it coolin', baby ah, ah-oh",601,75,70,12.479201331114808,93.33333333333333
led zeppelin (boxed set),black dog,"hey, hey, mama, said the way you move gonna make you sweat, gonna make you groove ah, ah, child, way you shake that thing gonna make you burn, gonna make you sting hey, hey, baby, when you walk that way watch your honey drip, can't keep away oh, yeah, oh, yeah ah, ah, ah oh, yeah, oh, yeah ah, ah, ah i gotta roll, can't stand still got a flaming heart, can't get my fill eyes that shine burning red dreams of you all through my head ah, ah, ah, ah ah, ah, ah, ah ah, ah, ah, ah ah see led zeppelin liveget tickets as low as $39you might also like hey, baby, oh, baby, pretty baby darling, can't you do me now? hey, baby, oh, baby, pretty baby move me while you do me now take too long 'fore i found out what people mean by down and out spent my money, took my car started telling her friend she gonna be a star i don't know, but i've been told a big-legged woman ain't got no soul oh, yeah, oh, yeah ah, ah, ah oh, yeah, oh, yeah ah, ah, ah all i ask for, all i pray steady-rollin' woman gonna come my way need a woman gonna hold my hand won't tell me no lies, make me a happy man ah, ah, ah, ah ah, ah, ah, ah ah, ah, ah, ah ah ah ooh, ooh-wah, yeah, oh, yeah, gotta move yeah-yeah-yeah, yeah-yeah, yeah-yeah gotta move you, now, babe, babe, move, you move, yeah push, push, babe, push, babe, push, babe push it, now, push, baby, push, baby, push, move, move ooh, yeah, ooh, move well, done i'm gonna get ya groovin', now, gonna get ya groovin', now39embed hey, hey, mama, said the way you move gonna make you sweat, gonna make you groove ah, ah, child, way you shake that thing gonna make you burn, gonna make you sting hey, hey, baby, when you walk that way watch your honey drip, can't keep away oh, yeah, oh, yeah ah, ah, ah oh, yeah, oh, yeah ah, ah, ah i gotta roll, can't stand still got a flaming heart, can't get my fill eyes that shine burning red dreams of you all through my head ah, ah, ah, ah ah, ah, ah, ah ah, ah, ah, ah ah hey, baby, oh, baby, pretty baby darling, can't you do me now? hey, baby, oh, baby, pretty baby move me while you do me now take too long 'fore i found out what people mean by down and out spent my money, took my car started telling her friend she gonna be a star i don't know, but i've been told a big-legged woman ain't got no soul oh, yeah, oh, yeah ah, ah, ah oh, yeah, oh, yeah ah, ah, ah all i ask for, all i pray steady-rollin' woman gonna come my way need a woman gonna hold my hand won't tell me no lies, make me a happy man ah, ah, ah, ah ah, ah, ah, ah ah, ah, ah, ah ah ah ooh, ooh-wah, yeah, oh, yeah, gotta move yeah-yeah-yeah, yeah-yeah, yeah-yeah gotta move you, now, babe, babe, move, you move, yeah push, push, babe, push, babe, push, babe push it, now, push, baby, push, baby, push, move, move ooh, yeah, ooh, move well, done i'm gonna get ya groovin', now, gonna get ya groovin', now",629,130,119,20.66772655007949,91.53846153846153
led zeppelin (boxed set),all my love,"should i fall out of love, my fire in the light to chase a feather in the wind within the glow that weaves a cloak of delight there moves a thread that has no end for many hours and days that pass ever soon the tides have caused the flame to dim at last, the arm is straight, the hand to the loom is this to end or just begin? all of my love, all of my love oh, all of my love to you, now all of my love, all of my love oh, all of my love to you, now the cup is raised, the toast is made yet again one voice is clear above the din proud aryan, one word, my will to sustain for me, the cloth once more to spin see led zeppelin liveget tickets as low as $39you might also like oh, all of my love, all of my love oh, all of my love for you, now all of my love, all of my love, yes all of my love to you, child  yours is the cloth, mine is the hand that sews time his is the force that lies within ours is the fire, all the warmth we can find he is a feather in the wind oh, all of my love, all of my love oh, all of my love to you, now all of my love, oh-ooh-oh, yes all of my love to you, now all of my love, all of my love all of my love, love sometimes, sometimes sometimes, sometimes hey-hey, hey, ey hey-hey-hey ooh, yeah it's all, all, all, all all of my love, all of my love all of my love to you, now all of my love, all of my love all of my love to, to you, and you, to you, yeah i get a little bit lonely just a little just a little just a little bit lonely just a little bit lonely, hey-hey, hey, hey-hey, hey, hey-hey, hey, hey13embed should i fall out of love, my fire in the light to chase a feather in the wind within the glow that weaves a cloak of delight there moves a thread that has no end for many hours and days that pass ever soon the tides have caused the flame to dim at last, the arm is straight, the hand to the loom is this to end or just begin? all of my love, all of my love oh, all of my love to you, now all of my love, all of my love oh, all of my love to you, now the cup is raised, the toast is made yet again one voice is clear above the din proud aryan, one word, my will to sustain for me, the cloth once more to spin oh, all of my love, all of my love oh, all of my love for you, now all of my love, all of my love, yes all of my love to you, child  yours is the cloth, mine is the hand that sews time his is the force that lies within ours is the fire, all the warmth we can find he is a feather in the wind oh, all of my love, all of my love oh, all of my love to you, now all of my love, oh-ooh-oh, yes all of my love to you, now all of my love, all of my love all of my love, love sometimes, sometimes sometimes, sometimes hey-hey, hey, ey hey-hey-hey ooh, yeah it's all, all, all, all all of my love, all of my love all of my love to you, now all of my love, all of my love all of my love to, to you, and you, to you, yeah i get a little bit lonely just a little just a little just a little bit lonely just a little bit lonely, hey-hey, hey, hey-hey, hey, hey-hey, hey, hey",683,117,114,17.1303074670571,97.43589743589743
led zeppelin (boxed set),ramble on,"the leaves are falling all around, time i was on my way thanks to you, i'm much obliged for such a pleasant stay but now it's time for me to go, the autumn moon lights my way for now i smell the rain, and with it pain, and it's headed my way ah, sometimes i grow so tired but i know i've got one thing i got to do ramble on, and now's the time, the time is now to sing my song, i'm going 'round the world, i gotta find my girl on my way, i've been this way ten years to the day ramble on, gotta find the queen of all my dreams got no time to for spreading roots the time has come to be gone and though ""our health"" we drank a thousand times it's time to ramble on ramble on, and now the time, the time is now to sing my song, i'm going 'round the world, i gotta find my girl on my way, i've been this way ten years to the day i gotta ramble on, i gotta find the queen of all my dreams see led zeppelin liveget tickets as low as $39you might also like i tell you no lie mine's a tale that can't be told, my freedom i hold dear how years ago in days of old, when magic filled the air 'twas in the darkest depths of mordor, i met a girl so fair but gollum and the evil one crept up and slipped away with her her, her, yeah ah, there's nothing i can do now i guess i'll keep on ramblin', i'm gonna shake (sing my song) i gotta find my baby i'm gonna ramble on, sing my song gonna work my way, going 'round the world baby, baby (ramble on) do do do do do do do do, my baby i can't stop this feeling in my heart every time i think about my baby i think, ""we gots to part"" gotta keep on searching for my baby baby, baby, baby, baby, baby i gotta keep on searching for my baby my, my, my, my, my, my, baby i can't find my bluebird! i listened to what my bluebird said, but i, i can't find my bluebird! i keep rambling, baby28embed the leaves are falling all around, time i was on my way thanks to you, i'm much obliged for such a pleasant stay but now it's time for me to go, the autumn moon lights my way for now i smell the rain, and with it pain, and it's headed my way ah, sometimes i grow so tired but i know i've got one thing i got to do ramble on, and now's the time, the time is now to sing my song, i'm going 'round the world, i gotta find my girl on my way, i've been this way ten years to the day ramble on, gotta find the queen of all my dreams got no time to for spreading roots the time has come to be gone and though ""our health"" we drank a thousand times it's time to ramble on ramble on, and now the time, the time is now to sing my song, i'm going 'round the world, i gotta find my girl on my way, i've been this way ten years to the day i gotta ramble on, i gotta find the queen of all my dreams i tell you no lie mine's a tale that can't be told, my freedom i hold dear how years ago in days of old, when magic filled the air 'twas in the darkest depths of mordor, i met a girl so fair but gollum and the evil one crept up and slipped away with her her, her, yeah ah, there's nothing i can do now i guess i'll keep on ramblin', i'm gonna shake (sing my song) i gotta find my baby i'm gonna ramble on, sing my song gonna work my way, going 'round the world baby, baby (ramble on) do do do do do do do do, my baby i can't stop this feeling in my heart every time i think about my baby i think, ""we gots to part"" gotta keep on searching for my baby baby, baby, baby, baby, baby i gotta keep on searching for my baby my, my, my, my, my, my, baby i can't find my bluebird! i listened to what my bluebird said, but i, i can't find my bluebird! i keep rambling, baby",821,154,136,18.757612667478686,88.31168831168831
led zeppelin (boxed set),dazed and confused,"been dazed and confused for so long, it's not true wanted a woman, never bargained for you lots of people talk and few of them know soul of a woman was created below, yeah you hurt and abuse, telling all of your lies run 'round, sweet baby, lord, how they hypnotize sweet little baby, i don't know where you've been gonna love you, baby, here i come again every day i work so hard, bringing home my hard-earned pay try to love you, baby, but you push me away don't know where you're going, only know just where you've been sweet little baby, i want you again ah ah ah ah ah ah ah ah ah ah ah, ah, ah, ah ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah see led zeppelin liveget tickets as low as $39you might also like oh, yeah! alright, alright ah, ah, ah, ah ah, ah, ah ah, ah, ah, ah ah, ah ah, ah oh, don't leave me so confused, yeah oh, don't leave me so confused, no oh, baby been dazed and confused for so long it's not true wanted a woman, never bargained for you take it easy, baby, let them say what they will tongue wag so much when i send you the bill oh, yeah, alright oh oh, oh, oh, oh oh, oh, oh, oh oh, oh, oh, oh ah, ah, ah, ah ah, ah, ah33embed been dazed and confused for so long, it's not true wanted a woman, never bargained for you lots of people talk and few of them know soul of a woman was created below, yeah you hurt and abuse, telling all of your lies run 'round, sweet baby, lord, how they hypnotize sweet little baby, i don't know where you've been gonna love you, baby, here i come again every day i work so hard, bringing home my hard-earned pay try to love you, baby, but you push me away don't know where you're going, only know just where you've been sweet little baby, i want you again ah ah ah ah ah ah ah ah ah ah ah, ah, ah, ah ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah, ah oh, yeah! alright, alright ah, ah, ah, ah ah, ah, ah ah, ah, ah, ah ah, ah ah, ah oh, don't leave me so confused, yeah oh, don't leave me so confused, no oh, baby been dazed and confused for so long it's not true wanted a woman, never bargained for you take it easy, baby, let them say what they will tongue wag so much when i send you the bill oh, yeah, alright oh oh, oh, oh, oh oh, oh, oh, oh oh, oh, oh, oh ah, ah, ah, ah ah, ah, ah",495,106,98,21.41414141414141,92.45283018867924
led zeppelin (boxed set),thank you,"if the sun refused to shine i would still be loving you when mountains crumble to the sea there will still be you and me kind woman, i give you my all kind woman, nothing more little drops of rain whisper of the pain tears of loves lost in the days gone by my love is strong with you there is no wrong together we shall go until we die, my, my, my an inspiration is what you are to me inspiration - look, see  and so today, my world, it smiles your hand in mine, we walk the miles and thanks to you it will be done for you to me are the only one all right, yeah happiness, no more be sad happiness - i'm glad see led zeppelin liveget tickets as low as $39you might also like if the sun refused to shine i would still be loving you when mountains crumble to the sea there will still be you and me16embed if the sun refused to shine i would still be loving you when mountains crumble to the sea there will still be you and me kind woman, i give you my all kind woman, nothing more little drops of rain whisper of the pain tears of loves lost in the days gone by my love is strong with you there is no wrong together we shall go until we die, my, my, my an inspiration is what you are to me inspiration - look, see  and so today, my world, it smiles your hand in mine, we walk the miles and thanks to you it will be done for you to me are the only one all right, yeah happiness, no more be sad happiness - i'm glad if the sun refused to shine i would still be loving you when mountains crumble to the sea there will still be you and me",319,92,85,28.84012539184953,92.3913043478261
